Ticker,Company,Sector,Industry,Country
SHW,The Sherwin-Williams Company,Basic Materials,Specialty Chemicals,USA
SHYF,"The Shyft Group, Inc.",Industrials,Farm & Heavy Construction Machinery,USA
SI,Silvergate Capital Corporation,Financial,Banks - Regional,USA
SIBN,"SI-BONE, Inc.",Healthcare,Medical Devices,USA
SIC,"Select Interior Concepts, Inc.",Consumer Cyclical,Residential Construction,USA
SID,Companhia Siderurgica Nacional,Basic Materials,Steel,Brazil
SIEB,Siebert Financial Corp.,Financial,Capital Markets,USA
SIEN,"Sientra, Inc.",Healthcare,Medical Devices,USA
SIF,"SIFCO Industries, Inc.",Industrials,Aerospace & Defense,USA
SIFY,Sify Technologies Limited,Communication Services,Telecom Services,India
SIG,Signet Jewelers Limited,Consumer Cyclical,Luxury Goods,Bermuda
SIGA,"SIGA Technologies, Inc.",Healthcare,Biotechnology,USA
SIGI,"Selective Insurance Group, Inc.",Financial,Insurance - Property & Casualty,USA
SIGIP,"Selective Insurance Group, Inc.",Financial,Insurance - Property & Casualty,USA
SII,Sprott Inc.,Financial,Asset Management,Canada
SILC,Silicom Ltd.,Technology,Communication Equipment,Israel
SILK,"Silk Road Medical, Inc",Healthcare,Medical Devices,USA
SILV,SilverCrest Metals Inc.,Basic Materials,Other Industrial Metals & Mining,Canada
SIM,"Grupo Simec, S.A.B. de C.V.",Basic Materials,Steel,Mexico
SIMO,Silicon Motion Technology Corporation,Technology,Semiconductors,Hong Kong
SINO,"Sino-Global Shipping America, Ltd.",Industrials,Integrated Freight & Logistics,USA
SINT,"Sintx Technologies, Inc.",Healthcare,Medical Devices,USA
SIOX,"Sio Gene Therapies, Inc.",Healthcare,Biotechnology,USA
SIRI,Sirius XM Holdings Inc.,Communication Services,Broadcasting,USA
SITC,SITE Centers Corp.,Real Estate,REIT - Retail,USA
SITE,"SiteOne Landscape Supply, Inc.",Industrials,Industrial Distribution,USA
SITM,SiTime Corporation,Technology,Semiconductors,USA
